location,number_of_bedroom,access_to_school,access_to_hospital,access_to_market,total_sqft,SalePrice
Phường Sơn Kỳ Quận Tân Phú,15,1,0,0,500,18856.8
Phường Bình Trị Đông Quận Bình Tân,10,1,1,1,336,14691.6
Phường 10 Quận 6,13,0,0,0,373.3,12000.4
Phường 10 Quận 6,11,1,0,1,386.8,13409.64
Phường 15 Quận Gò Vấp,6,1,0,1,317,7805.168
Phường 10 Quận 6,8,1,0,1,488.4,19003.48
Phường 6 Quận Gò Vấp,8,0,0,0,362.3,21679.32
Phường 6 Quận Gò Vấp,18,0,0,1,326.4,7776
Phường 16 Quận 11,10,1,0,1,299.3,27552.8
Phường 12 Quận Tân Bình,8,1,1,1,218.4,15481.2
Phường 13 Quận Bình Thạnh,9,0,0,1,211.7,10055.36
Phường 11 Quận Tân Bình,13,1,0,1,365.4,24301.6
Phường 6 Quận Tân Bình,4,1,0,1,399.5,27504
Phường Bình Thuận Quận 7,15,1,1,1,384,16499.2
Phường 7 Quận 5,5,1,0,1,346.4,24996.9
Phường 6 Quận 5,11,0,0,0,224.2,10886.48
Phường 5 Quận 5,6,1,0,1,268.5,19360.32
Phường 12 Quận 3,6,1,1,1,213,12500
Phường 1 Quận Bình Thạnh,8,1,0,1,318.8,14788.8
Phường 1 Quận Bình Thạnh,8,0,0,0,318.8,15692.82
Phường 1 Quận Bình Thạnh,8,0,0,0,318.8,16011.688
Phường 3 Quận Bình Thạnh,16,0,0,1,285.2,20776
Phường 12 Quận 10,10,0,0,0,181.7,16204.8
Phường 12 Quận 10,9,1,1,1,287.3,20009.02
Phường 12 Quận 10,5,0,0,0,293.8,28872.36
Phường 12 Quận 10,5,1,1,1,293.8,28872.36
Phường 3 Quận 3,4,1,0,1,149.3,11242.8
Phường Đa Kao Quận 1,8,0,0,0,406.6,38496.888
Phường Nguyễn Cư Trinh Quận 1,9,0,0,0,101.7,17071.9
Phường Cô Giang Quận 1,8,0,0,0,261.5,15602.496
Phường 5 Quận 3,5,1,1,1,220,7691.108
Phường 14 Quận 4,16,1,0,1,206.4,9256.72
Phường Hiệp Thành Quận 12,12,1,0,1,272.5,7472.13684
Phường 6 Quận 4,7,1,0,1,307.2,17969.65128
Phường Tân Chánh Hiệp Quận 12,12,1,0,1,295.7,7948.67048
Phường 14 Quận 6,5,1,1,1,279.6,8564.864
Phường 9 Quận 5,5,0,0,0,353.6,35504.235
Phường 10 Quận Tân Bình,4,1,1,1,169.3,13812.8
Phường 11 Quận 3,11,1,1,1,220.2,4517.7168
Phường 15 Quận 5,7,1,1,1,322.3,19808.748
Phường 9 Quận Tân Bình,5,1,0,1,213.9,22829.64
Phường 2 Quận Tân Bình,6,0,0,0,263.1,15997.544
Phường 7 Quận Phú Nhuận,9,0,0,0,251.7,19644.48
Phường Tân Thuận Tây Quận 7,8,1,0,1,392,19782.42
Phường 13 Quận 3,3,1,0,1,176.5,15209.766
Phường 12 Quận 3,10,1,1,1,264.1,9402.5568
Phường Tân Định Quận 1,4,0,1,1,364.1,27924.27
Phường 6 Quận Tân Bình,8,1,0,1,252.7,8307.9612
Phường 1 Quận Bình Thạnh,5,1,0,1,386.2,26392.47
Phường 9 Quận 6,6,1,1,1,255.2,12941.712
Phường 2 Quận 8,6,0,0,0,189.7,8799.74964
Phường Bình Trưng Đông Quận 2,8,1,0,1,279.4,17224.80912
Phường 14 Quận 6,5,1,1,1,275.4,7652.4659
Phường 9 Quận 5,7,1,1,1,251.7,18826.7365
Phường 6 Quận Gò Vấp,7,1,0,1,240,23472
Phường 24 Quận Bình Thạnh,5,0,0,0,343.4,24698.6064
Phường 9 Quận 3,3,1,1,1,56.3,4603.35648
Phường 1 Quận Phú Nhuận,4,0,1,1,83.3,4051.99556
Phường 13 Quận 10,4,0,0,0,179.9,18169.5035
Phường 2 Quận 10,6,0,1,1,228.4,13973.013
Phường Hiệp Phú Quận 9,5,0,0,1,169.5,14971.6875
Phường Phước Long A Quận 9,6,1,0,1,218.1,10172.547
Phường 8 Quận Phú Nhuận,5,0,0,1,285.5,16818.375
Phường 1 Quận 5,7,1,1,1,106.1,9001.447
Phường 5 Quận Tân Bình,4,1,1,1,79.4,4870.03725
Phường 11 Quận Bình Thạnh,6,1,0,1,261.3,15883.7586
Phường 8 Quận 10,7,0,0,0,335.3,21073.1382
Phường 25 Quận Bình Thạnh,8,1,0,1,178.3,9799.65
Phường Tân Định Quận 1,8,1,0,1,200,9698.585
Phường 13 Quận 3,10,1,0,1,200,17645.22
Phường 3 Quận 10,5,1,1,1,225,13736.03022
Phường 9 Quận 10,4,0,0,0,112.6,15979.38524
Phường Tây Thạnh Quận Tân Phú,15,1,0,1,260.1,10306.3025
Phường 6 Quận 4,9,1,0,1,124.4,6324.929
Phường 11 Quận 5,7,0,0,0,226.6,17926.272
Phường 8 Quận 10,4,0,0,0,140,13656
Phường Nguyễn Cư Trinh Quận 1,8,1,1,1,139.2,8047.68
Phường 1 Quận 11,5,1,1,1,74.5,3794.4
Phường 1 Quận 5,9,0,0,0,205.6,17437.5
Phường 1 Quận 3,7,0,1,1,186.6,10858.68
Phường 3 Quận 3,2,1,1,1,115.8,7999.845
