number_of_bedroom,access_to_school,access_to_hospital,access_to_market,total_sqft,loc_lat,loc_long
4,1,1,1,381,10.7261719,106.7100647
4,0,1,1,52.4,10.7998363,106.6714487
3,1,0,1,55.8,10.8025582,106.68183
3,0,0,0,143.9,10.7992527,106.6783145
3,1,1,1,262.4,10.7779746,106.6813139
5,1,1,1,154.8,10.7812343,106.7026503
14,1,1,1,368.2,10.7669616,106.6420086
12,0,0,0,375.2,10.7784102,106.6613981
4,0,0,0,153.5,10.8067604,106.6877205
9,0,0,0,354.8,10.7745444,106.6479139
8,0,0,0,342.6,10.7405454,106.7070097
4,1,0,1,293,10.7751759,106.6483593
4,0,0,0,208,10.7998363,106.6714487
6,1,0,1,303.4,10.7742545,106.6860921
13,1,0,1,393.5,10.794846,106.6671096
12,0,0,1,468.7,10.8277865,106.6819516
19,1,0,1,550.8,10.8160766,106.693555
8,0,0,0,316.2,10.7918629,106.6761598
5,0,0,0,237.2,10.8165032,106.6777987
4,0,1,1,209.4,10.8448952,106.6828004
4,1,0,1,190.7,10.8518876,106.7454564
6,1,0,1,358.6,10.8082971,106.6654911
18,0,1,1,554.8,10.7893937,106.6750618
17,1,0,1,286.6,10.7595027,106.6840512
5,0,0,0,339,10.7595027,106.6840512
13,0,0,0,349,10.8001182,106.6770417
10,1,0,1,318.6,10.7748167,106.6357158
7,0,0,0,306.9,10.7913852,106.7116102
5,1,1,1,223.1,10.7487536,106.611218
5,1,0,1,655.2,10.7873298,106.6571777
9,0,0,0,739.7,10.7780926,106.6658339
3,0,0,0,415.5,10.795558,106.7119172
8,0,0,1,106,10.7587531,106.6924052
3,1,0,1,234.2,10.8058384,106.6800235
4,0,0,0,311.8,10.7719416,106.6697907
9,1,1,1,318.3,10.7694645,106.6127274
3,1,1,1,249.2,10.7858219,106.7777531
16,0,0,0,433.4,10.7802551,106.6553491
13,1,0,1,433.4,10.7802551,106.6553491
5,1,0,1,255.4,10.8232913,106.5999038
4,1,1,1,258.5,10.7708746,106.5886503
14,1,0,1,363.4,10.8783651,106.6845103
10,1,1,1,364.9,10.8091544,106.6058677
19,1,0,1,497.2,10.8373485,106.6362851
4,1,0,1,400,10.8127875,106.6198351
5,1,1,1,163.6,10.7691633,106.7860907
10,1,0,1,460,10.8117972,106.6214832
6,1,0,1,239.2,10.7553668,106.6140144
13,1,0,1,442.2,10.8128209,106.6240969
5,1,0,1,442.6,10.8128209,106.6240969
4,0,0,0,25.7,10.8019648,106.6214131
5,1,0,1,298.5,10.8284404,106.6392641
4,1,1,1,288.6,10.8231815,106.6357684
4,1,0,0,204.4,10.8457875,106.667346
4,1,0,1,137,10.8387845,106.6562959
4,1,0,1,254.7,10.8417895,106.6820104
4,1,0,1,254.7,10.8417895,106.6820104
4,1,0,1,250.4,10.7086888,106.7342406
5,1,1,1,300,10.7086888,106.7342406
5,0,0,0,227.6,10.8348805,106.6873587
5,0,0,0,381,10.8277865,106.6819516
10,1,1,1,372.9,10.7669616,106.6420086
5,0,0,1,320,10.7914612,106.745545
3,1,0,1,334.9,10.7969339,106.7403924
4,0,0,1,547.9,10.7436385,106.7325694
5,0,0,0,312.5,10.7998363,106.6714487
4,0,0,0,243.6,10.7998363,106.6714487
5,0,0,0,304.5,10.7998363,106.6714487
5,0,0,0,305,10.805877,106.6815741
7,0,0,0,397,10.7954868,106.6716112
5,0,0,0,208.7,10.8025582,106.68183
30,1,1,1,625.3,10.7389339,106.7097204
4,1,0,1,243.3,10.744556,106.6991678
5,1,1,1,310.5,10.7460744,106.6963946
12,1,0,1,428.1,10.7881286,106.6737358
5,1,1,1,233.1,10.7579031,106.6091837
7,0,0,0,608,10.7959304,106.6569356
6,0,0,0,192.1,10.7483784,106.6757928
9,1,0,1,250.6,10.7607497,106.696815
4,1,1,1,181.9,10.8362242,106.6647039
4,0,0,0,140.7,10.8430374,106.6371653
9,0,0,0,235,10.7540747,106.6483504
7,1,1,1,226.3,10.7918939,106.6722005
7,0,0,1,184,10.7966991,106.6937418
22,1,1,1,476.1,10.79155283,106.7311048
4,1,1,1,89.8,10.7922604,106.6791477
9,0,0,0,287.7,10.7979139,106.6748516
4,1,0,1,56.4,10.8634256,106.6085058
5,1,0,1,257.8,10.81587,106.5976867
4,0,0,0,201.7,10.8308859,106.6874859
3,1,0,1,101.4,10.7745444,106.6479139
4,1,0,1,202.9,10.7902705,106.6614385
5,0,0,0,249.9,10.8251802,106.6879797
3,0,0,1,187.5,10.8184508,106.6989384
8,0,0,0,279.5,10.8025582,106.68183
7,0,0,0,66.7,10.8052539,106.6819825
8,1,0,1,208.9,10.8128209,106.6240969
4,1,1,1,236,10.876359,106.625963
6,0,0,1,172.7,10.8049376,106.7182472
3,1,0,1,71.7,10.8755144,106.6362271
4,1,0,1,196,10.8453959,106.653507
15,0,0,0,613.7,10.805877,106.6815741
5,1,0,1,166.9,10.8224502,106.6855684
3,1,1,1,75.8,10.7728665,106.6943
5,1,0,1,275,10.7595344,106.6056798
4,0,0,1,275.7,10.8771786,106.6536109
4,1,0,1,214.1,10.8603511,106.6675572
5,1,0,1,211.6,10.8373485,106.6362851
6,1,1,1,285,10.7790986,106.624253
4,0,1,1,244.4,10.7819038,106.7661933
6,0,0,0,273.3,10.7811314,106.6351373
2,0,0,0,47.8,10.8012812,106.6419371
9,0,0,0,337.8,10.8023039,106.6435165
3,0,0,1,227.3,10.81711,106.6879179
