SalePrice,location_street,location_ward,location_district,number_of_toilet,access_to_school,access_to_hospital,access_to_market,number_of_floor,is_having_basement,is_having_attic_floor,is_having_rooftop,alley_width,number_of_bedroom,loc_lat,loc_long,total_sqft
38396.99968,Đường Mạc Đĩnh Chi,Phường Đa Kao Quận 1,Quận 1,9,0,0,1,5.5,0,0,0,3.5,9,10.7884755,106.698318,212.9
14214.375,Đường Lê Trọng Tấn,Phường Bình Hưng Hòa Quận Bình Tân,Quận Bình Tân,28,1,1,1,5.5,0,0,0,6,28,10.8137881,106.6063325,639
36000.3,Đường số 60 - TML,Phường Thạnh Mỹ Lợi Quận 2,Quận 2,6,1,1,1,5.5,1,0,1,12,6,10.7631632,106.7655988,486.2
25678.5,Đường Cách Mạng Tháng Tám,Phường 11 Quận 3,Quận 3,12,1,1,1,5.5,0,0,0,12,10,10.7834318,106.6711445,96.9
36310.3,Đường Nguyễn Đình Chiểu,Phường Đa Kao Quận 1,Quận 1,12,1,1,1,5.5,0,0,0,6,12,10.7912371,106.7022238,302.9
10510.056,Đường Phạm Văn Đồng,Phường 13 Quận Bình Thạnh,Quận Bình Thạnh,6,0,0,1,5.5,0,0,1,30,6,10.8251078,106.7040422,210.5
20271.6,Đường Nguyễn Thượng Hiền,Phường 5 Quận Phú Nhuận,Quận Phú Nhuận,12,1,0,1,5.5,0,0,1,10,12,10.8057383,106.6841756,608.7
32760,Đường Tôn Đản,Phường 15 Quận 4,Quận 4,11,1,0,1,5.5,0,0,1,10,10,10.7610553,106.7074873,1281.9
29619.39662,Đường Đại lộ 2 Phước Bình,Phường Phước Bình Quận 9,Quận 9,11,1,0,1,5.5,1,0,0,30,11,10.8157784,106.7743933,739.5
17076.744,Đường Tân Kì Tân Quý,Phường Tân Quý Quận Tân Phú,Quận Tân Phú,5,1,0,1,5.5,0,0,1,12,5,10.7947853,106.6217612,364.2
17917.9,Đường Thái Phiên,Phường 8 Quận 11,Quận 11,8,0,0,0,5.5,0,0,0,12,8,10.7612531,106.6463032,159.3
26323.55,Đường Cộng Hòa,Phường 4 Quận Tân Bình,Quận Tân Bình,6,1,1,1,5.5,0,0,0,50,6,10.8009799,106.6578764,435.8
23918.4,Đường Lê Văn Sỹ,Phường 13 Quận 3,Quận 3,8,1,0,1,5.5,0,0,0,20,8,10.7893937,106.6750618,372.6
17834.065,Đường Số 49,Phường Tân Tạo Quận Bình Tân,Quận Bình Tân,27,1,0,1,5.5,1,0,1,11,27,10.7525397,106.6020659,401.7
12377.09,Đường Phạm Văn Đồng,Phường 13 Quận Bình Thạnh,Quận Bình Thạnh,6,1,0,1,5.5,0,0,1,15,5,10.8251078,106.7040422,263.2
7029.75,Đường Nguyễn Công Hoan,Phường 7 Quận Phú Nhuận,Quận Phú Nhuận,9,0,0,0,5.5,0,0,0,2,9,10.8015277,106.6894466,243.7
26005.716,Đường Đồng Nai,Phường 15 Quận 10,Quận 10,22,0,0,0,5.5,0,0,1,15,22,10.7794391,106.6623229,438
35775.48,Đường Trường Sa,Phường 14 Quận 3,Quận 3,6,0,0,0,5.5,0,0,1,6.6,5,10.7895656,106.6786342,412.1
21205.125,Đường Phan Huy Ích,Phường 14 Quận Gò Vấp,Quận Gò Vấp,30,1,0,1,5.5,0,0,0,6,30,10.8373485,106.6362851,614
15679.46,Đường Nguyễn Phúc Chu,Phường 15 Quận Tân Bình,Quận Tân Bình,25,0,0,0,5.5,0,0,0,12,25,10.8231815,106.6357684,702
8526,Đường Tô Hiệu,Phường Hiệp Tân Quận Tân Phú,Quận Tân Phú,6,1,0,1,5.5,0,0,0,6.77,6,10.7740616,106.6277285,103
36012.5,Đường Lê Tấn Kế,Phường 2 Quận 6,Quận 6,6,0,0,0,5.5,0,0,0,20,11,10.7488214,106.6504261,720.9
38976,Đường Lạc Long Quân,Phường 8 Quận Tân Bình,Quận Tân Bình,15,1,0,1,5.5,0,0,1,12,15,10.7751759,106.6483593,454.9
13952.25,Đường Cách Mạng Tháng Tám,Phường 12 Quận 10,Quận 10,8,0,0,0,5.5,0,0,1,6,8,10.7779746,106.6813139,305.7
8314.416,Đường Âu Cơ,Phường Phú Trung Quận Tân Phú,Quận Tân Phú,9,1,0,1,5.5,0,0,0,3.8,9,10.7752404,106.6476646,349.6
24480,Đường Lạc Long Quân,Phường 9 Quận Tân Bình,Quận Tân Bình,12,1,1,1,5.5,1,0,0,10,12,10.7751759,106.6483593,279.5
25119.36,Đường Khánh Hội,Phường 4 Quận 4,Quận 4,8,1,0,0,5.5,0,0,0,4.5,8,10.7568317,106.7005952,633.7
31015.18395,Đường Ba Tháng Hai,Phường 14 Quận 10,Quận 10,17,1,1,1,5.5,0,0,0,12,16,10.7729399,106.6611959,591.3
19402.032,Đường Cù Lao,Phường 2 Quận Phú Nhuận,Quận Phú Nhuận,13,0,1,1,5.5,0,0,1,4.5,12,10.7971081,106.686921,658.4
27994.496,Đường Phạm Đình Toái,Phường 6 Quận 3,Quận 3,4,1,0,1,5.5,0,0,1,10,4,10.7501032,106.6464478,240.6
16799.4,Đường Huỳnh Tấn Phát,Phường Phú Mỹ Quận 7,Quận 7,7,1,0,1,5.5,0,0,0,150,7,10.7086888,106.7342406,379.4
14071.37508,Đường Tân Hương,Phường Tân Quý Quận Tân Phú,Quận Tân Phú,8,1,0,1,5.5,0,0,1,7.4,6,10.789428,106.6264746,487.4
34978.86,Đường Phan Văn Hân,Phường 17 Quận Bình Thạnh,Quận Bình Thạnh,13,1,0,1,5.5,0,0,1,15,12,10.7936293,106.7064573,480.2
17220,Đường Nguyễn Tri Phương,Phường 9 Quận 5,Quận 5,6,0,0,0,5.5,0,0,0,6,6,10.7566559,106.6695588,225.3
27142.328,Đường Bạch Vân,Phường 5 Quận 5,Quận 5,10,1,0,1,5.5,0,0,1,20,10,10.7514267,106.674553,417.2
14193.557,Đường Lạc Long Quân,Phường 5 Quận 11,Quận 11,9,0,0,0,5.5,0,0,0,8,8,10.7745444,106.6479139,224
24240.2784,Đường Lê Đức Thọ,Phường 6 Quận Gò Vấp,Quận Gò Vấp,10,1,0,1,5.5,1,0,1,8,8,10.835689,106.6812423,414
14004,Đường Thới An 15,Phường Thới An Quận 12,Quận 12,25,1,0,1,5.5,0,0,1,10,25,10.8771786,106.6536109,522
13184.904,Đường Lê Văn Thọ,Phường 9 Quận Gò Vấp,Quận Gò Vấp,13,1,0,1,5.5,0,0,0,4.5,12,10.8434481,106.6571162,391.9
16999.2,Đường Chợ Lớn,Phường 11 Quận 6,Quận 6,6,1,0,1,5.5,1,0,0,12,6,10.7453105,106.6303626,303.3
9543.6,Đường Phạm Văn Đồng,Phường 13 Quận Bình Thạnh,Quận Bình Thạnh,6,1,0,1,5.5,0,0,1,15,5,10.8251078,106.7040422,272.6
13650,Đường Chu Văn An,Phường 1 Quận 6,Quận 6,13,0,0,0,5.5,0,0,1,3,12,10.7471302,106.6532461,544
36760.8,Đường Lý Thường Kiệt,Phường 8 Quận Tân Bình,Quận Tân Bình,6,0,0,0,5.5,0,0,1,35,5,10.7900793,106.6524429,343.2
12496,Đường Nguyễn Trung Trực,Phường 5 Quận Bình Thạnh,Quận Bình Thạnh,5,1,0,1,5.5,0,0,1,15,4,10.8108065,106.6868872,480
22264.72,Đường Thành Thái,Phường 14 Quận 10,Quận 10,10,0,0,0,5.5,0,0,1,6,9,10.7784102,106.6613981,417
15545.184,Đường Số 42,Phường Tân Quy Quận 7,Quận 7,6,1,1,1,5.5,0,0,0,12,5,10.7391438,106.7128921,269.3
14441.72,Đường Số 49,Phường Tân Quy Quận 7,Quận 7,8,0,0,0,5.5,0,0,1,14,7,10.7415729,106.715829,330
32544,Đường Lê Quang Định,Phường 14 Quận Bình Thạnh,Quận Bình Thạnh,19,0,0,0,5.5,0,0,0,15,18,10.8052565,106.6969985,439.3
19180.8,Đường Lê Văn Sỹ,Phường 14 Quận 3,Quận 3,3,0,0,0,5.5,0,0,0,12,3,10.7893937,106.6750618,215.6
12558,Đường Số 9M,Phường Tân Thuận Tây Quận 7,Quận 7,5,1,0,1,5.5,0,0,0,8,6,10.7493524,106.7168472,307.5
32178.6,Đường Phan Đình Phùng,Phường 2 Quận Phú Nhuận,Quận Phú Nhuận,16,0,0,1,5.5,1,0,0,20,16,10.7973984,106.6876578,439.4
15898.96,Đường Số 3J,Phường Tân Thuận Tây Quận 7,Quận 7,8,0,0,0,5.5,0,0,1,12,7,10.7510145,106.7170204,378.4
14681.6,Đường Rạch Bùng Binh,Phường 9 Quận 3,Quận 3,16,0,0,0,5.5,0,0,1,8,15,10.7807537,106.6798475,201
16201.28,Đường Nguyễn Trãi,Phường Nguyễn Cư Trinh Quận 1,Quận 1,6,1,1,1,5.5,0,0,1,4.3,10,10.7595027,106.6840512,208.7
41018.5815,Đường Tô Hiến Thành,Phường 13 Quận 10,Quận 10,6,0,0,0,5.5,0,0,1,20,6,10.7780926,106.6658339,598.9
21149.5515,Đường Trần Hưng Đạo,Phường 2 Quận 5,Quận 5,5,1,0,1,5.5,0,0,1,4,6,10.7542331,106.6769822,91.4
16050.516,Đường Ba Tháng Hai,Phường 2 Quận 11,Quận 11,10,1,0,1,5.5,0,0,0,30,9,10.7575553,106.6431714,258.6
16239.29328,Đường Trường Chinh,Phường Tân Hưng Thuận Quận 12,Quận 12,11,1,0,1,5.5,0,0,0,6,10,10.8302,106.62662,396.1
26858.3,Đường Lý Chính Thắng,Phường 8 Quận 3,Quận 3,12,1,0,1,5.5,0,0,0,20,12,10.7427341,106.6393392,280.7
13343.68,Đường Lê Văn Sỹ,Phường 13 Quận 3,Quận 3,9,0,0,0,5.5,0,0,0,4,9,10.7893937,106.6750618,325
34133.832,Đường Lê Hồng Phong,Phường 1 Quận 10,Quận 10,10,0,0,0,5.5,0,0,1,30,10,10.7641625,106.6757687,217.6
38707.2,Đường Nguyễn Bỉnh Khiêm,Phường Đa Kao Quận 1,Quận 1,9,0,0,0,5.5,0,0,0,20,8,10.7884755,106.698318,298.5
19051.8048,Đường Điện Biên Phủ,Phường 11 Quận 10,Quận 10,5,0,0,0,5.5,0,0,1,8,4,10.7725609,106.6788057,280.4
8763.885,Đường Lê Thúc Hoạch,Phường Phú Thọ Hòa Quận Tân Phú,Quận Tân Phú,4,1,1,1,5.5,0,0,1,20,6,10.7884519,106.6210243,259.9
